Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
9.6,-2.7,-20.878,,,
9.7,-2.7,-21.4519,,,
9.8,-2.7,-22.0259,,,
9.9,-2.7,-22.5999,,,
10.0,-2.7,-23.1739,,,
10.1,-2.7,-23.7478,,,
10.2,-2.7,-24.3218,,,
10.3,-2.7,-24.8958,,,
10.4,-2.7,-25.4697,,,
10.5,-2.7,-26.0437,,,
10.6,-2.7,-26.6177,,,
10.7,-2.7,-27.1916,,,
10.8,-2.7,-27.7656,,,
10.9,-2.7,-28.3396,,,
11.0,-2.7,-28.9135,,,
11.1,-2.7,-29.4875,,,
11.2,-2.7,-30.0615,,,
11.3,-2.7,-30.6354,,,
11.4,-2.7,-31.2094,,,
11.5,-2.7,-31.7834,,,
11.6,-2.7,-32.3573,,,
11.7,-2.7,-32.9313,,,
11.8,-2.7,-33.5053,,,
11.9,-2.7,-34.0792,,,
12.0,-2.7,-34.6532,,,
6.0,-2.7,-0.21516,,,
6.1,-2.7,-0.78913,,,
6.2,-2.7,-1.36309,,,
6.3,-2.7,-1.93706,,,
6.4,-2.7,-2.51103,,,
6.5,-2.7,-3.085,,,
6.6,-2.7,-3.65896,,,
6.7,-2.7,-4.23293,,,
6.8,-2.7,-4.8069,,,
6.9,-2.7,-5.38087,,,
7.0,-2.7,-5.95483,,,
7.1,-2.7,-6.5288,,,
7.2,-2.7,-7.10277,,,
7.3,-2.7,-7.67673,,,
7.4,-2.7,-8.2507,,,
7.5,-2.7,-8.82467,,,
7.6,-2.7,-9.39864,,,
7.7,-2.7,-9.9726,,,
7.8,-2.7,-10.5466,,,
7.9,-2.7,-11.1205,,,
8.0,-2.7,-11.6945,,,
8.1,-2.7,-12.2685,,,
8.2,-2.7,-12.8424,,,
8.3,-2.7,-13.4164,,,
8.4,-2.7,-13.9904,,,
8.5,-2.7,-14.5643,,,
8.6,-2.7,-15.1383,,,
8.7,-2.7,-15.7123,,,
8.8,-2.7,-16.2862,,,
8.9,-2.7,-16.8602,,,
9.0,-2.7,-17.4342,,,
9.1,-2.7,-18.0081,,,
9.2,-2.7,-18.5821,,,
9.3,-2.7,-19.1561,,,
9.4,-2.7,-19.73,,,
9.5,-2.7,-20.304,,,
9.6,-2.7,-20.878,,,
9.7,-2.7,-21.4519,,,
9.8,-2.65,-22.0259,,,
9.9,-2.65,-22.5999,,,
10.0,-2.65,-23.1739,,,
10.1,-2.65,-23.7478,,,
10.2,-2.65,-24.3218,,,
10.3,-2.65,-24.8958,,,
10.4,-2.65,-25.4697,,,
10.5,-2.65,-26.0437,,,
10.6,-2.65,-26.6177,,,
10.7,-2.65,-27.1916,,,
10.8,-2.65,-27.7656,,,
10.9,-2.65,-28.3396,,,
11.0,-2.65,-28.9135,,,
11.1,-2.65,-29.4875,,,
11.2,-2.65,-30.0615,,,
11.3,-2.65,-30.6354,,,
11.4,-2.65,-31.2094,,,
11.5,-2.65,-31.7834,,,
11.6,-2.65,-32.3573,,,
11.7,-2.65,-32.9313,,,
11.8,-2.65,-33.5053,,,
11.9,-2.65,-34.0792,,,
12.0,-2.65,-34.6532,,,
6.0,-2.65,-0.21516,,,
6.1,-2.65,-0.78913,,,
6.2,-2.65,-1.36309,,,
6.3,-2.65,-1.93706,,,
6.4,-2.65,-2.51103,,,
6.5,-2.65,-3.085,,,
6.6,-2.65,-3.65896,,,
6.7,-2.65,-4.23293,,,
6.8,-2.65,-4.8069,,,
6.9,-2.65,-5.38087,,,
7.0,-2.65,-5.95483,,,
7.1,-2.65,-6.5288,,,
7.2,-2.65,-7.10277,,,
7.3,-2.65,-7.67673,,,
7.4,-2.65,-8.2507,,,
7.5,-2.65,-8.82467,,,
7.6,-2.65,-9.39864,,,
7.7,-2.65,-9.9726,,,
7.8,-2.65,-10.5466,,,
7.9,-2.65,-11.1205,,,
8.0,-2.65,-11.6945,,,
8.1,-2.65,-12.2685,,,
8.2,-2.65,-12.8424,,,
8.3,-2.65,-13.4164,,,
8.4,-2.65,-13.9904,,,
8.5,-2.65,-14.5643,,,
8.6,-2.65,-15.1383,,,
8.7,-2.65,-15.7123,,,
8.8,-2.65,-16.2862,,,
8.9,-2.65,-16.8602,,,
9.0,-2.65,-17.4342,,,
9.1,-2.65,-18.0081,,,
9.2,-2.65,-18.5821,,,
9.3,-2.65,-19.1561,,,
9.4,-2.65,-19.73,,,
9.5,-2.65,-20.304,,,
9.6,-2.65,-20.878,,,
9.7,-2.65,-21.4519,,,
9.8,-2.65,-22.0259,,,
9.9,-2.65,-22.5999,,,
10.0,-2.65,-23.1739,,,
10.1,-2.65,-23.7478,,,
10.2,-2.65,-24.3218,,,
10.3,-2.65,-24.8958,,,
10.4,-2.65,-25.4697,,,
10.5,-2.65,-26.0437,,,
10.6,-2.65,-26.6177,,,
10.7,-2.65,-27.1916,,,
10.8,-2.65,-27.7656,,,
10.9,-2.6,-28.3396,,,
11.0,-2.6,-28.9135,,,
11.1,-2.6,-29.4875,,,
