Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
Model Data,,,
pH value,Potential of CuNP  (V vs. RHE),NO2 binding energy of CuNP (kJ mol-1),
9.3,0.35,-59.2641,
9.4,0.35,-59.8381,
9.5,0.35,-60.4121,
9.6,0.35,-60.986,
9.7,0.35,-61.56,
9.8,0.35,-62.134,
9.9,0.35,-62.7079,
10,0.35,-63.2819,
10.1,0.35,-63.8559,
10.2,0.35,-64.4298,
10.3,0.35,-65.0038,
10.4,0.35,-65.5778,
10.5,0.35,-66.1517,
10.6,0.35,-66.7257,
10.7,0.35,-67.2997,
10.8,0.35,-67.8736,
10.9,0.35,-68.4476,
11,0.35,-69.0216,
11.1,0.35,-69.5955,
11.2,0.35,-70.1695,
11.3,0.35,-70.7435,
11.4,0.35,-71.3174,
11.5,0.35,-71.8914,
11.6,0.35,-72.4654,
11.7,0.35,-73.0393,
11.8,0.35,-73.6133,
11.9,0.35,-74.1873,
12,0.35,-74.7612,
4.9,0.4,-37.6983,
5,0.4,-38.2722,
5.1,0.4,-38.8462,
5.2,0.4,-39.4202,
5.3,0.4,-39.9941,
5.4,0.4,-40.5681,
5.5,0.4,-41.1421,
5.6,0.4,-41.716,
5.7,0.4,-42.29,
5.8,0.4,-42.864,
5.9,0.4,-43.4379,
6,0.4,-44.0119,
6.1,0.4,-44.5859,
6.2,0.4,-45.1598,
6.3,0.4,-45.7338,
6.4,0.4,-46.3078,
6.5,0.4,-46.8817,
6.6,0.4,-47.4557,
6.7,0.4,-48.0297,
6.8,0.4,-48.6036,
6.9,0.4,-49.1776,
7,0.4,-49.7516,
7.1,0.4,-50.3255,
7.2,0.4,-50.8995,
7.3,0.4,-51.4735,
7.4,0.4,-52.0474,
7.5,0.4,-52.6214,
7.6,0.4,-53.1954,
7.7,0.4,-53.7693,
7.8,0.4,-54.3433,
7.9,0.4,-54.9173,
8,0.4,-55.4912,
8.1,0.4,-56.0652,
8.2,0.4,-56.6392,
8.3,0.4,-57.2131,
8.4,0.4,-57.7871,
8.5,0.4,-58.3611,
8.6,0.4,-58.935,
8.7,0.4,-59.509,
8.8,0.4,-60.083,
8.9,0.4,-60.6569,
9,0.4,-61.2309,
9.1,0.4,-61.8049,
9.2,0.4,-62.3789,
9.3,0.4,-62.9528,
9.4,0.4,-63.5268,
9.5,0.4,-64.1008,
9.6,0.4,-64.6747,
9.7,0.4,-65.2487,
9.8,0.4,-65.8227,
9.9,0.4,-66.3966,
10,0.4,-66.9706,
10.1,0.4,-67.5446,
10.2,0.4,-68.1185,
10.3,0.4,-68.6925,
10.4,0.4,-69.2665,
10.5,0.4,-69.8404,
10.6,0.4,-70.4144,
10.7,0.4,-70.9884,
10.8,0.4,-71.5623,
10.9,0.4,-72.1363,
11,0.4,-72.7103,
11.1,0.4,-73.2842,
11.2,0.4,-73.8582,
11.3,0.4,-74.4322,
11.4,0.4,-75.0061,
11.5,0.4,-75.5801,
11.6,0.4,-76.1541,
11.7,0.4,-76.728,
11.8,0.4,-77.302,
11.9,0.4,-77.876,
12,0.4,-78.4499,
4.9,0.45,-41.387,
5,0.45,-41.9609,
5.1,0.45,-42.5349,
5.2,0.45,-43.1089,
5.3,0.45,-43.6828,
5.4,0.45,-44.2568,
5.5,0.45,-44.8308,
5.6,0.45,-45.4047,
5.7,0.45,-45.9787,
5.8,0.45,-46.5527,
5.9,0.45,-47.1266,
6,0.45,-47.7006,
6.1,0.45,-48.2746,
6.2,0.45,-48.8485,
6.3,0.45,-49.4225,
6.4,0.45,-49.9965,
6.5,0.45,-50.5704,
6.6,0.45,-51.1444,
6.7,0.45,-51.7184,
6.8,0.45,-52.2923,
6.9,0.45,-52.8663,
7,0.45,-53.4403,
7.1,0.45,-54.0142,
